user_pseudo_id,traffic_source,traffic_medium,traffic_campaign,sessions,page_views,product_views,add_to_carts,checkouts,shipping_info,payment_info,purchases,revenue
1262579984.9333541923,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
12060946.3116781068,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
28643294.2834910956,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
33532737.3936452049,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
79885144.0651372002,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
67305198.3516390706,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
9139370.0002246672,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
30684439.7290899787,(data deleted),(data deleted),(data deleted),0,1,1,0,0,0,0,0,0
10301213.0937670588,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
7275658.5992118497,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
5723712.1590878971,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
6394168.6734038234,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
7135303.9179455072,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
6707762.4188683635,<Other>,(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
66404314.0557216231,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
39629943.4553267839,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
4305516.0406549742,(data deleted),(data deleted),(data deleted),3,1,6,1,0,0,0,0,0
47492860.3123003830,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
3325174.6160969754,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
11595437.0231850747,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
82413188.4099053241,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
5309535.8084986545,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
3870867.0002021950,(data deleted),(data deleted),(data deleted),0,1,1,0,0,0,0,0,0
63719520.1661424924,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
2515510.1738253097,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
7939383.0093156339,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
12056205.3416213069,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
57626451.2851700914,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
5026856.9549231266,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
56202804.4130901997,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
59052015.6314102477,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
44173689.7181600994,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
1283951.6369063705,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
8815455.4684173805,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
62166125.1478913909,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
1504020.7661034060,(data deleted),(data deleted),(data deleted),1,1,1,0,0,0,0,0,0
2466769.6755837379,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
1818686.8454312861,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
9213903.5993918868,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
22765614.7755429109,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
7592008.6185141563,(data deleted),(data deleted),(data deleted),1,1,1,0,0,0,0,0,0
60222870.4563378857,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
7867406.2092532189,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
1825334.0253055136,(data deleted),(data deleted),(data deleted),1,1,1,0,0,0,0,0,0
2649416.9510735699,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
21981068.9730315460,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
71273125.2126674726,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
68215240.8428901560,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
1243458.6981981401,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
69886936.7948235937,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
58209119.4279807673,(data deleted),(data deleted),(data deleted),0,1,1,0,0,0,0,0,0
1259981.8099512879,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
59953312.0835152523,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
51058107.8947360252,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
70367009.8031387830,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
59301178.9446513324,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
44615098.9164918817,(data deleted),(data deleted),(data deleted),0,1,1,0,0,0,0,0,0
4319843.6589946372,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
64026379.2712414118,(data deleted),(data deleted),(data deleted),0,1,1,0,0,0,0,0,0
4536050.1098289754,(data deleted),(data deleted),(data deleted),1,1,1,0,0,0,0,0,0
53987677.7306784314,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
8157311.3218289436,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
62259836.2563565263,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
7633663.8973790404,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
34887867.9815410163,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
73678034.8900004853,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
62257028.0114002148,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
4083481.1370337712,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
84250904.5662038639,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
61849178.6944852805,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
7701047.9160204770,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
72602845.0126381168,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
1821237.9877725935,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
31710652.0586584750,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
59469446.0388835265,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
6320611.4466522540,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
17987075.8115794252,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
2784138.6683496903,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
38212316.4394303556,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
9217997939.0473979352,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
3367508.0920201056,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
3338329.4509956926,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
2803701.4787262490,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
6309468.2077989215,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
8529257.3522486218,(data deleted),(data deleted),<Other>,0,1,0,0,0,0,0,0,0
5776481.4676350922,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
6062221.0523460247,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
4633540.6173903698,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
53545305.2171192922,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
88820525.9581591637,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
1323679.3364543563,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
4420523.7529196289,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
67674022.7470957736,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
47449881.7366986923,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
39498927.0012186934,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
8594915.1608212257,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
22329347.5174782096,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
8476305.1091643752,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
5334655.1852185076,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
34273339.3077640304,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
7895030.5397794449,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
1077731.3617800846,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
7324172.5007405816,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
2918906.5440859704,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
3766253.5512561278,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
24763650.4026084401,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
7045536.0735099740,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
5152026.4951892113,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
32089520.5199565845,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
12807347.4865253915,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
3235122.6120943286,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
13569267.3543616752,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
27409026.7167405807,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
5896806602.4664593256,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
3746065.1869805747,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
4514488.6781143261,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
81993330.2483923724,(data deleted),(data deleted),(data deleted),0,1,0,0,0,0,0,0,0
1127534.6374272355,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
80806436.7877852852,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
44075770.5632259069,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
8876810.7157216772,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
42924824.9367656069,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
7633967994.5000164406,(data deleted),(data deleted),(data deleted),1,1,0,0,0,0,0,0,0
76059044.6855952136,(data deleted),(data deleted),(data deleted),2,1,0,0,0,0,0,0,0
